date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:17	570/570	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202019%2011:47:36%20GMT	http://misteracademia.renderforestsites.com/robots.txt		(from )
11:56:19	83234/83234	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Aug%202022%2013:30:00%20GMT	http://misteracademia.renderforestsites.com/	C:/Users/gbven/Desktop/Academia/Javas%20fit/misteracademia.renderforestsites.com/index.html	(from )
11:56:19	9273/9273	---MCZ	200	added ('OK')	text/css	etag:W/%22a439c557bc18eaf7ecb5d1ccdb7bd4af%22	http://misteracademia.renderforestsites.com/main-l6dnb5ms.css	C:/Users/gbven/Desktop/Academia/Javas%20fit/misteracademia.renderforestsites.com/main-l6dnb5ms.css	(from http://misteracademia.renderforestsites.com/)
11:56:19	397966/397966	---M--	200	added ('OK')	image/jpeg	etag:%228ef4eddd9db3181575941b1246c2ef72%22	https://hosting.renderforestsites.com/5699226/470297/media/728c8a0234c0e7de6cc1b640ce353d0a.jpg	C:/Users/gbven/Desktop/Academia/Javas%20fit/hosting.renderforestsites.com/5699226/470297/media/728c8a0234c0e7de6cc1b640ce353d0a.jpg	(from http://misteracademia.renderforestsites.com/)
11:56:19	36257/36257	---M--	200	added ('OK')	image/jpeg	etag:%228a8542e1d624052e4edb5fedd67c998e%22	https://hosting.renderforestsites.com/5699226/470297/media/03a173d56abc05e724fe89ae180fe3a9.jpg	C:/Users/gbven/Desktop/Academia/Javas%20fit/hosting.renderforestsites.com/5699226/470297/media/03a173d56abc05e724fe89ae180fe3a9.jpg	(from http://misteracademia.renderforestsites.com/)
11:56:20	841004/841004	---M--	200	added ('OK')	image/jpeg	etag:%228710f335733d9622c2b816a0ec233bd4%22	https://hosting.renderforestsites.com/5699226/470297/media/97e49cd550897be2cc9096660947acba.jpg	C:/Users/gbven/Desktop/Academia/Javas%20fit/hosting.renderforestsites.com/5699226/470297/media/97e49cd550897be2cc9096660947acba.jpg	(from http://misteracademia.renderforestsites.com/)
11:56:20	631450/631450	---M--	200	added ('OK')	image/jpeg	etag:%22b6a26a7caea089cbd4342a225ad3a414%22	https://hosting.renderforestsites.com/5699226/470297/media/411fbcf52a4f752441e1cb2d64e1b4e4.jpg	C:/Users/gbven/Desktop/Academia/Javas%20fit/hosting.renderforestsites.com/5699226/470297/media/411fbcf52a4f752441e1cb2d64e1b4e4.jpg	(from http://misteracademia.renderforestsites.com/)
11:56:22	18106/18106	---MCZ	200	added ('OK')	application/javascript	etag:W/%22262dda5cacee454cc300f707619c52ea%22	http://misteracademia.renderforestsites.com/builtIcons-l6dnb5ms.js	C:/Users/gbven/Desktop/Academia/Javas%20fit/misteracademia.renderforestsites.com/builtIcons-l6dnb5ms.js	(from http://misteracademia.renderforestsites.com/)
11:56:22	11916/11916	---M--	200	added ('OK')	image/png	etag:%2229ad2b5ac69668589537df7c1f195998%22	https://hosting.renderforestsites.com/5699226/470297/media/155d7d56e7306b030da9cd6e5bc0e3a0.png	C:/Users/gbven/Desktop/Academia/Javas%20fit/hosting.renderforestsites.com/5699226/470297/media/155d7d56e7306b030da9cd6e5bc0e3a0.png	(from http://misteracademia.renderforestsites.com/)
11:56:23	46190/46190	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Aug%202022%2013:30:00%20GMT	http://misteracademia.renderforestsites.com/pricing/	C:/Users/gbven/Desktop/Academia/Javas%20fit/misteracademia.renderforestsites.com/pricing/index.html	(from http://misteracademia.renderforestsites.com/)
11:56:24	30119/30119	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Aug%202022%2013:30:00%20GMT	http://misteracademia.renderforestsites.com/register/	C:/Users/gbven/Desktop/Academia/Javas%20fit/misteracademia.renderforestsites.com/register/index.html	(from http://misteracademia.renderforestsites.com/)
11:56:38	728628/728628	---MCZ	200	added ('OK')	application/javascript	etag:W/%22772b7608423d81c996bc499d848a61ad%22	http://misteracademia.renderforestsites.com/bundle-l6dnb5ms.js	C:/Users/gbven/Desktop/Academia/Javas%20fit/misteracademia.renderforestsites.com/bundle-l6dnb5ms.js	(from http://misteracademia.renderforestsites.com/)
11:56:38	596073/596073	---M--	200	added ('OK')	image/jpeg	etag:%224260821af56774296c91e7589b2d4c8f%22	https://hosting.renderforestsites.com/5699226/470297/media/87bc238c6aaf6da7013f0478cf6f18a1.jpg	C:/Users/gbven/Desktop/Academia/Javas%20fit/hosting.renderforestsites.com/5699226/470297/media/87bc238c6aaf6da7013f0478cf6f18a1.jpg	(from http://misteracademia.renderforestsites.com/pricing/)
